      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2021-01-11 20:08:36,   2251,      59.96,          98,       0.53,       37.54,        1.63,       19.90,    2251,       0
2021-01-11 20:13:36,   4334,      59.95,         194,       0.55,       72.29,        3.24,       39.79,    4334,       0
2021-01-11 20:18:36,   6260,      59.93,         282,       0.57,      104.46,        4.71,       59.67,    6260,       0
2021-01-11 20:23:36,   8138,      59.92,         361,       0.59,      135.81,        6.02,       79.53,    8143,       0
2021-01-11 20:28:36,   9609,      59.91,         432,       0.62,      160.39,        7.21,       99.53,    9611,       0
2021-01-11 20:33:36,  11173,      59.91,         496,       0.64,      186.50,        8.28,      119.33,   11177,       0
2021-01-11 20:38:36,  12472,      59.91,         551,       0.67,      208.18,        9.20,      139.28,   12485,       0
2021-01-11 20:43:36,  13166,      59.88,         586,       0.72,      219.87,        9.79,      158.98,   13180,       0
2021-01-11 20:48:36,  12947,      59.89,         571,       0.83,      216.18,        9.53,      178.67,   12970,       0
2021-01-11 20:53:12,   1300,      36.55,          66,       4.35,       35.57,        1.81,      154.58,    1300,    3561
**** siege aborted due to excessive socket failure. ****
2021-01-11 20:56:34,  14581,      59.90,         647,       0.89,      243.42,       10.80,      217.51,   14607,       0
2021-01-11 21:01:21,   1712,      47.02,          87,       4.48,       36.41,        1.85,      162.99,    1712,    4176
**** siege aborted due to excessive socket failure. ****
2021-01-11 21:06:41,  13447,      59.88,         608,       1.12,      224.57,       10.15,      252.23,   13475,       0
2021-01-11 21:12:21,  13891,      59.89,         621,       1.08,      231.94,       10.37,      250.31,   13927,       0
2021-01-11 21:18:01,  12906,      59.87,         588,       1.15,      215.57,        9.82,      247.58,   12949,       0
