      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2021-01-11 20:09:36,   2118,      59.94,         114,       0.56,       35.34,        1.90,       19.84,    2118,       0
2021-01-11 20:14:36,   4219,      59.95,         225,       0.56,       70.38,        3.75,       39.70,    4219,       0
2021-01-11 20:19:36,   6370,      59.94,         349,       0.56,      106.27,        5.82,       59.55,    6370,       0
2021-01-11 20:24:36,   8323,      59.94,         437,       0.57,      138.86,        7.29,       79.50,    8330,       0
2021-01-11 20:29:36,  10353,      59.94,         544,       0.58,      172.72,        9.08,       99.39,   10360,       0
2021-01-11 20:34:36,  12312,      59.93,         649,       0.58,      205.44,       10.83,      119.26,   12330,       0
2021-01-11 20:39:36,  14291,      59.93,         754,       0.58,      238.46,       12.58,      139.16,   14325,       0
2021-01-11 20:44:36,  16003,      59.93,         818,       0.59,      267.03,       13.65,      158.72,   16013,       0
2021-01-11 20:49:36,  17868,      59.92,         892,       0.60,      298.20,       14.89,      178.73,   17873,       1
2021-01-11 20:53:16,      0,       3.63,           0,        inf,        0.00,        0.00,      177.72,       0,    1223
**** siege aborted due to excessive socket failure. ****
2021-01-11 20:57:34,  21338,      59.92,        1052,       0.61,      356.11,       17.56,      218.57,   21339,       0
2021-01-11 21:02:21,  22835,      59.78,        1157,       0.62,      381.98,       19.35,      238.46,   22837,       0
2021-01-11 21:07:51,  23770,      59.91,        1204,       0.64,      396.76,       20.10,      253.72,   23770,       0
2021-01-11 21:13:31,  25129,      59.90,        1251,       0.60,      419.52,       20.88,      253.27,   25136,       0
2021-01-11 21:19:11,  24098,      59.91,        1203,       0.63,      402.24,       20.08,      253.75,   24098,       0
