      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2021-01-11 20:10:36,   2094,      59.97,         131,       0.57,       34.92,        2.18,       19.91,    2094,       0
2021-01-11 20:15:36,   4135,      59.98,         254,       0.58,       68.94,        4.23,       39.73,    4135,       0
2021-01-11 20:20:36,   6334,      59.97,         396,       0.57,      105.62,        6.60,       59.71,    6334,       0
2021-01-11 20:25:36,   8213,      59.97,         514,       0.58,      136.95,        8.57,       79.53,    8213,       0
2021-01-11 20:30:36,  10166,      59.97,         639,       0.59,      169.52,       10.66,       99.37,   10168,       1
2021-01-11 20:35:36,  12296,      59.96,         778,       0.58,      205.07,       12.98,      119.29,   12300,       1
2021-01-11 20:40:36,  13404,      59.98,         831,       0.62,      223.47,       13.85,      139.10,   13410,       4
2021-01-11 20:45:36,  15252,      59.96,         960,       0.63,      254.37,       16.01,      158.99,   15256,       3
2021-01-11 20:50:36,  17396,      59.96,        1087,       0.62,      290.13,       18.13,      178.90,   17400,       2
2021-01-11 20:53:34,    365,      17.87,          23,       2.35,       20.43,        1.29,       48.07,     365,    1201
**** siege aborted due to excessive socket failure. ****
2021-01-11 20:58:34,  21429,      59.95,        1379,       0.61,      357.45,       23.00,      218.63,   21434,       1
2021-01-11 21:03:21,  23350,      59.94,        1457,       0.61,      389.56,       24.31,      238.46,   23356,       4
2021-01-11 21:09:01,  24784,      59.94,        1545,       0.61,      413.48,       25.78,      253.34,   24790,       5
2021-01-11 21:14:41,  24894,      59.94,        1556,       0.61,      415.32,       25.96,      253.28,   24897,       2
2021-01-11 21:20:21,  24887,      59.95,        1558,       0.61,      415.13,       25.99,      253.37,   24890,       1
