      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2022-10-05 19:49:55,   6983,     299.84,          58,       0.43,       23.29,        0.19,        9.99,    6983,       0
2022-10-05 20:00:05,   7161,     299.87,          60,       0.84,       23.88,        0.20,       19.95,    7161,       0
2022-10-05 20:10:15,   7339,     299.88,          61,       1.22,       24.47,        0.20,       29.89,    7339,       0
2022-10-05 20:20:25,   7385,     299.85,          62,       1.61,       24.63,        0.21,       39.73,    7385,       0
2022-10-05 20:30:35,   7475,     299.88,          63,       1.99,       24.93,        0.21,       49.55,    7475,       1
2022-10-05 20:40:45,   7335,     299.90,          62,       2.43,       24.46,        0.21,       59.53,    7335,       0
2022-10-05 20:50:55,   7490,     299.88,          63,       2.76,       24.98,        0.21,       68.95,    7490,       0
2022-10-05 21:01:05,   7523,     299.88,          63,       3.12,       25.09,        0.21,       78.30,    7523,       1
2022-10-05 21:11:15,   7432,     299.89,          62,       3.56,       24.78,        0.21,       88.20,    7432,       0
2022-10-05 21:21:25,   7426,     299.86,          62,       3.95,       24.76,        0.21,       97.73,    7426,       0
2022-10-05 21:31:35,   7513,     299.88,          63,       4.29,       25.05,        0.21,      107.48,    7513,       0
2022-10-05 21:41:45,   7476,     299.88,          63,       4.71,       24.93,        0.21,      117.44,    7476,       0
